FECHA,HORA,VAL,SUR,TAC,EAC,LLA,LPR,LVI,SAG,AZC,TLA,XAL,MER,PED,CES,HAN,ARA,NET,TLI,ATI,VIF,TAH,LAG,PLA,UIZ,BJU,TAX,ACO,IZT,CHO
15/07/08,1,0.001,0.001,0.000,0.002,0.006,0.000,0.000,0.002,0.001,0.003,0.005,0.003,0.004,0.003,-9.999,0.000,-9.999,0.000,0.008,0.003,0.003,0.004,0.002,0.004,-9.999,0.000,0.002,0.002,0.000
15/07/08,2,0.000,0.002,0.001,0.002,0.006,0.000,0.000,0.002,0.006,0.011,0.005,0.003,0.003,0.003,-9.999,0.000,-9.999,0.000,0.030,0.005,0.002,0.004,0.002,0.004,-9.999,0.000,0.002,0.002,0.000
15/07/08,3,0.002,0.001,0.003,0.003,0.005,0.000,0.000,0.002,0.017,0.022,0.005,0.012,0.003,0.003,-9.999,0.000,-9.999,0.002,0.026,0.004,0.002,0.004,0.002,0.004,-9.999,0.000,0.001,0.005,0.000
15/07/08,4,0.001,0.001,0.023,0.014,0.005,0.000,0.000,0.001,0.011,0.006,0.005,0.013,0.005,0.003,-9.999,0.000,-9.999,0.000,0.046,0.003,0.002,0.005,0.005,0.004,-9.999,0.000,0.001,0.017,0.001
15/07/08,5,0.001,0.003,0.041,0.020,0.005,0.000,0.000,0.001,0.007,0.012,0.006,0.006,0.018,0.003,-9.999,0.000,-9.999,0.000,0.051,0.003,0.003,0.005,0.013,0.005,-9.999,0.001,0.002,0.009,0.001
15/07/08,6,0.001,0.003,0.016,0.033,0.005,0.000,0.000,0.002,0.007,0.010,0.005,0.012,0.037,0.003,-9.999,0.000,-9.999,0.006,0.024,0.003,0.003,0.006,0.023,0.007,-9.999,0.001,0.001,0.014,0.001
15/07/08,7,0.002,0.014,0.004,0.022,0.007,0.000,0.000,0.002,0.006,0.011,0.005,0.009,0.040,0.005,-9.999,0.000,-9.999,0.003,0.019,0.003,0.003,0.007,0.013,0.014,-9.999,0.008,0.002,0.015,0.002
15/07/08,8,0.004,0.017,0.006,0.019,0.007,0.001,0.001,0.002,0.007,0.009,0.008,0.007,0.039,0.006,-9.999,0.000,-9.999,0.003,0.015,0.017,0.002,0.009,0.013,0.008,-9.999,0.009,0.002,0.007,0.002
15/07/08,9,0.004,0.021,0.009,0.028,0.008,0.004,0.004,0.004,0.012,0.014,0.011,0.014,0.037,0.007,-9.999,0.001,-9.999,0.014,0.012,0.017,0.003,0.015,0.016,0.008,-9.999,0.012,0.002,0.010,0.006
15/07/08,10,-9.999,0.016,0.009,0.017,0.008,0.003,0.007,0.005,0.013,0.018,0.013,0.016,0.023,0.007,-9.999,0.004,-9.999,-9.999,0.014,0.003,0.005,0.015,0.015,0.009,-9.999,0.011,0.002,0.014,0.005
15/07/08,11,0.010,0.013,0.009,0.017,0.006,0.003,0.004,0.005,0.016,0.019,0.011,0.013,-9.999,0.007,-9.999,0.005,-9.999,-9.999,0.024,0.003,0.004,0.012,0.012,0.009,-9.999,0.009,-9.999,0.010,0.004
15/07/08,12,0.005,0.009,0.009,0.015,0.005,0.001,0.003,0.003,0.012,0.022,0.008,0.009,-9.999,0.007,-9.999,0.003,-9.999,-9.999,0.026,0.004,0.003,0.010,0.009,0.008,-9.999,0.008,-9.999,0.007,0.002
15/07/08,13,0.004,0.006,0.009,0.022,0.005,0.000,0.002,0.003,0.015,0.012,0.007,0.006,-9.999,0.006,-9.999,0.001,-9.999,-9.999,0.018,0.003,0.004,0.008,0.008,0.006,-9.999,0.005,0.004,0.005,0.001
15/07/08,14,0.002,0.005,0.003,0.010,-9.999,0.000,0.000,0.002,0.003,0.004,0.006,0.004,-9.999,0.004,-9.999,0.000,-9.999,-9.999,0.003,0.002,0.004,0.006,0.007,0.005,-9.999,0.003,0.004,0.003,0.001
15/07/08,15,0.002,0.002,0.000,0.005,-9.999,0.000,0.000,-9.999,0.002,0.004,0.006,0.004,0.009,0.003,-9.999,0.000,-9.999,-9.999,0.002,0.002,0.002,0.005,0.005,0.005,-9.999,0.002,0.004,0.002,0.000
15/07/08,16,0.001,0.002,0.000,0.003,0.004,0.000,0.000,-9.999,0.001,0.003,0.006,0.004,0.005,0.003,-9.999,0.000,-9.999,0.003,-9.999,0.002,0.002,0.004,0.003,0.004,-9.999,0.002,0.003,0.002,0.000
15/07/08,17,0.001,0.001,0.000,0.003,0.004,0.000,0.000,-9.999,0.001,0.004,0.006,0.004,0.004,0.004,-9.999,0.000,-9.999,0.003,-9.999,0.002,0.002,0.005,0.002,0.004,-9.999,0.002,0.003,0.002,0.000
15/07/08,18,0.001,0.001,0.000,0.003,0.004,0.000,0.000,-9.999,0.001,0.005,0.006,0.004,0.004,0.005,-9.999,0.000,-9.999,0.003,-9.999,0.002,0.002,0.004,0.003,0.005,-9.999,0.003,0.003,0.002,0.000
15/07/08,19,0.002,0.002,0.000,0.003,0.003,0.000,0.000,-9.999,0.001,0.004,0.006,0.004,0.004,0.004,-9.999,0.000,-9.999,0.004,-9.999,0.002,0.002,0.005,0.003,0.005,-9.999,0.003,0.003,0.002,0.001
15/07/08,20,0.001,0.001,0.000,0.004,0.004,0.000,0.000,-9.999,0.001,0.003,0.006,0.004,0.004,0.003,-9.999,0.000,-9.999,0.003,-9.999,0.002,0.002,0.006,0.002,-9.999,-9.999,0.002,0.003,0.002,0.000
15/07/08,21,0.000,0.002,0.000,0.004,0.004,0.000,0.000,-9.999,0.002,0.007,0.006,0.004,0.004,0.004,-9.999,0.000,-9.999,0.004,-9.999,0.003,0.002,0.006,0.003,0.004,-9.999,0.003,0.002,0.002,0.000
15/07/08,22,0.000,0.002,0.000,0.003,0.004,0.000,0.000,-9.999,0.002,0.007,0.006,0.004,0.004,0.004,-9.999,0.000,-9.999,0.004,-9.999,0.003,0.003,0.006,0.003,0.004,-9.999,0.002,0.002,0.002,0.000
